"","diameter","crown_cover","tree_density","ba_ha","palmer_drought_sensitive_index","climate_water_deficit","precipitation_accumulation","min_temperature","max_temperature","wind_speed_at_10m","slope.map_nepal","elevation_nepal","aspect","soil_moisture","soil_depth","penetration_depth","organic_layer_type","organic_layer_thickness","dia_growth_cm_yr"
"1",95.5,19,264.6,15.3199512225779,54.24,819.2,88.04,195.52,329.24,146.52,4.07248,269,1,883.48,4,5,0,0,0.8
"2",66.2,59,79.6,23.0067863986215,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.63124,200,1,855.8333333,5,30,1,2,0.68
"3",75.5,84,1283.24,23.9886923915077,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,0,1,0.4
"4",61.2,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.36
"5",57.2,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.24
"6",56.8,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.58
"7",46.4,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.66
"8",45.1,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.58
"9",57.9,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.12
"10",36.4,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.52
"11",54.3,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.38
"12",44.8,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.64
"13",37.7,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.26
"14",34.6,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.2
"15",41.8,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.88
"16",42.9,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.88
"17",56.1,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.46
"18",49.5,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.66
"19",46.8,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.12
"20",36,73,151.24,31.1493971766715,-31.26666667,906.9666667,71.6,197.2333333,334.3666667,149.1666667,0.47699,211,1,855.8333333,5,24,1,4,0.8
"21",30.5,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.05
"22",29.6,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.07
"23",38.6,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.15
"24",26.4,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,2.23
"25",24,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.37
"26",34.9,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.27
"27",43.5,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.25
"28",34,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.42
"29",31.8,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.2
"30",36.3,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.28
"31",31.8,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.28
"32",57,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.42
"33",43.6,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.32
"34",39.1,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.15
"35",27.7,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.22
"36",55.9,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.1
"37",33.9,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.35
"38",41,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.25
"39",34.8,48,303.57,29.0342807312738,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,5,9,0,0,0.34
"40",30.2,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.13
"41",31.8,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.07
"42",28,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.2
"43",21.7,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.13
"44",28.8,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.12
"45",25.9,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.05
"46",21,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,1
"47",30.7,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.26
"48",35.3,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.12
"49",33.9,66,1375.9,41.9109111797965,-9.6,567.9428571,101.7142857,168.6571429,292.2,147.7428571,13.20256,997,0,816.3714286,4,11,0,0,0.02
